sklep_id,dzien_tyg,data,sprzedaz,liczba_klientow,czy_otwarty,czy_promocja,czy_swieto,czy_swieto_szkolne,sklep_typ,sklep_asort,sklep_konkurencja
4,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Rozszerzony,620
5,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,29910
6,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,310
7,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,24000
8,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,7520
9,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,2030
10,7,28.12.2021,0,0,Nie,Nie,Nie,Tak,a,Podstawowy,3160
11,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,960
12,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,1070
14,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,1300
15,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,4110
16,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,3270
17,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,50
18,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,13840
19,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,3240
21,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Rozszerzony,550
23,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,4060
24,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,4590
25,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Podstawowy,430
26,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,2300
27,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,60
28,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,1200
29,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,2170
30,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,40
31,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,9800
33,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,1320
34,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Podstawowy,2240
35,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,7660
37,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Podstawowy,4230
38,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,1090
39,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,260
40,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,180
42,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,290
43,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,4880
44,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,540
45,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,9710
47,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,270
48,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,1060
49,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,18010
50,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,6260
1,6,27.12.2021,6057,684,Tak,Nie,Nie,Tak,c,Podstawowy,1270
2,6,27.12.2021,3934,457,Tak,Nie,Nie,Nie,a,Podstawowy,570
3,6,27.12.2021,4825,569,Tak,Nie,Nie,Nie,a,Podstawowy,14130
4,6,27.12.2021,12724,1693,Tak,Nie,Nie,Nie,c,Rozszerzony,620
5,6,27.12.2021,2847,317,Tak,Nie,Nie,Nie,a,Podstawowy,29910
6,6,27.12.2021,3990,432,Tak,Nie,Nie,Nie,a,Podstawowy,310
7,6,27.12.2021,8882,917,Tak,Nie,Nie,Nie,a,Rozszerzony,24000
8,6,27.12.2021,3806,502,Tak,Nie,Nie,Nie,a,Podstawowy,7520
9,6,27.12.2021,6096,537,Tak,Nie,Nie,Nie,a,Rozszerzony,2030
10,6,27.12.2021,4787,537,Tak,Nie,Nie,Tak,a,Podstawowy,3160
11,6,27.12.2021,9120,1252,Tak,Nie,Nie,Nie,a,Rozszerzony,960
12,6,27.12.2021,7159,912,Tak,Nie,Nie,Nie,a,Rozszerzony,1070
14,6,27.12.2021,3083,379,Tak,Nie,Nie,Nie,a,Podstawowy,1300
15,6,27.12.2021,6734,736,Tak,Nie,Nie,Nie,d,Rozszerzony,4110
16,6,27.12.2021,5340,535,Tak,Nie,Nie,Nie,a,Rozszerzony,3270
17,6,27.12.2021,3521,497,Tak,Nie,Nie,Nie,a,Podstawowy,50
18,6,27.12.2021,6497,699,Tak,Nie,Nie,Nie,d,Rozszerzony,13840
19,6,27.12.2021,3954,380,Tak,Nie,Nie,Nie,a,Rozszerzony,3240
21,6,27.12.2021,6123,533,Tak,Nie,Nie,Nie,c,Rozszerzony,550
23,6,27.12.2021,3478,347,Tak,Nie,Nie,Nie,d,Podstawowy,4060
24,6,27.12.2021,6918,617,Tak,Nie,Nie,Nie,a,Rozszerzony,4590
25,6,27.12.2021,10386,1337,Tak,Nie,Nie,Nie,c,Podstawowy,430
26,6,27.12.2021,7658,682,Tak,Nie,Nie,Nie,d,Podstawowy,2300
27,6,27.12.2021,8294,1018,Tak,Nie,Nie,Nie,a,Podstawowy,60
28,6,27.12.2021,2625,324,Tak,Nie,Nie,Nie,a,Podstawowy,1200
29,6,27.12.2021,7162,659,Tak,Nie,Nie,Nie,d,Rozszerzony,2170
30,6,27.12.2021,3789,657,Tak,Nie,Nie,Nie,a,Podstawowy,40
31,6,27.12.2021,6474,688,Tak,Nie,Nie,Nie,d,Rozszerzony,9800
33,6,27.12.2021,7985,821,Tak,Nie,Nie,Nie,a,Rozszerzony,1320
34,6,27.12.2021,8151,1000,Tak,Nie,Nie,Nie,c,Podstawowy,2240
35,6,27.12.2021,8616,737,Tak,Nie,Nie,Nie,d,Rozszerzony,7660
37,6,27.12.2021,10054,1223,Tak,Nie,Nie,Nie,c,Podstawowy,4230
38,6,27.12.2021,5909,570,Tak,Nie,Nie,Nie,d,Podstawowy,1090
39,6,27.12.2021,2261,326,Tak,Nie,Nie,Nie,a,Podstawowy,260
40,6,27.12.2021,4035,588,Tak,Nie,Nie,Nie,a,Podstawowy,180
42,6,27.12.2021,7072,792,Tak,Nie,Nie,Nie,a,Rozszerzony,290
43,6,27.12.2021,4397,394,Tak,Nie,Nie,Nie,d,Podstawowy,4880
44,6,27.12.2021,3991,549,Tak,Nie,Nie,Nie,a,Podstawowy,540
45,6,27.12.2021,4680,352,Tak,Nie,Nie,Nie,d,Podstawowy,9710
47,6,27.12.2021,6664,864,Tak,Nie,Nie,Nie,a,Rozszerzony,270
48,6,27.12.2021,2930,328,Tak,Nie,Nie,Nie,a,Podstawowy,1060
49,6,27.12.2021,6044,430,Tak,Nie,Nie,Nie,d,Rozszerzony,18010
50,6,27.12.2021,3116,317,Tak,Nie,Nie,Nie,d,Podstawowy,6260
1,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,1270
2,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,570
3,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,14130
4,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Rozszerzony,620
5,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,29910
6,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,310
7,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,24000
8,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,7520
9,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,2030
10,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,3160
11,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,960
12,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,1070
14,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1300
15,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,4110
16,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,3270
17,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,50
18,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,13840
19,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,3240
21,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Rozszerzony,550
23,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,4060
24,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,4590
25,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,430
26,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,2300
27,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,60
28,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1200
29,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,2170
30,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,40
31,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,9800
33,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,1320
34,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,2240
35,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,7660
37,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,4230
38,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,1090
39,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,260
40,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,180
42,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,290
43,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,4880
44,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,540
45,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,9710
47,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,270
48,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1060
49,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,18010
50,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,6260
1,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,1270
2,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,570
3,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,14130
4,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Rozszerzony,620
5,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,29910
6,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,310
7,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,24000
8,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,7520
9,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,2030
10,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,3160
11,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,960
12,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,1070
14,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1300
15,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,4110
16,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,3270
17,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,50
18,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,13840
19,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,3240
21,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Rozszerzony,550
23,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,4060
24,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,4590
25,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,430
26,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,2300
27,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,60
28,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1200
29,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,2170
30,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,40
31,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,9800
33,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,1320
34,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,2240
35,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,7660
37,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,4230
38,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,1090
39,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,260
40,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,180
42,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,290
43,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,4880
44,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,540
45,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,9710
47,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,270
48,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1060
49,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,18010
50,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,6260
1,3,24.12.2021,3659,421,Tak,Nie,Nie,Tak,c,Podstawowy,1270
2,3,24.12.2021,2437,274,Tak,Nie,Nie,Tak,a,Podstawowy,570
3,3,24.12.2021,4310,582,Tak,Nie,Nie,Tak,a,Podstawowy,14130
